1,A captivating tale unfolds about toys that magically come alive when no one is watching. Woody the cowboy and Buzz Lightyear the astronaut along with a colorful cast of toy friends embark on a series of adventures navigating the challenges and excitement of their secret world.
2,When two children discover an ancient board game they are plunged into a mystical world of adventure and danger. Each roll of the dice brings new challenges from wild jungles to exotic creatures as they strive to finish the game and restore order to their world.
3,Two feuding neighbors vie for the affection of their attractive neighbor in a comedic battle of wits and antics that tests their long-standing rivalry.
4,Four close friends navigate the trials of love and life in this heartfelt drama as they face challenges that test their strength and fortitude.
5,Chaos strikes as George Banks faces not only his daughter's pregnancy but his wife's as well leading to a series of comedic and heartfelt events.
6,A master thief and a seasoned cop play cat and mouse in the streets of LA in a high stakes game of crime and justice.
7,A chauffeur's daughter transforms and captivates her father's employer's son upon her return from Paris leading to romantic complications.
8,Tom Sawyer and Huck Finn embark on thrilling adventures along the Mississippi River uncovering treasure and mischief along the way.
9,A former firefighter battles terrorists who have seized the Vice President during a hockey game in a race against time to save the hostages.
10,James Bond faces off against a rogue Russian general threatening global stability with a satellite weapon in a high-stakes espionage thriller.
11,A widowed U.S. president embarks on a romance with a lobbyist amidst political turmoil testing the boundaries of love and power.
12,A comedic take on the Dracula story directed by Mel Brooks that mixes horror and humor in a unique retelling.
13,The true story of a heroic dog Balto who delivers medicine during an epidemic in Alaska showcasing bravery and perseverance.
14,A film chronicling the political and personal life of President Richard Nixon delving into the complexities of his presidency.
15,A female pirate races to find a massive treasure on a hidden island in an action-packed adventure of high seas and treachery.
16,A mobster operates a high-stakes casino in Vegas with loyalty and betrayal close at hand in the glamorous yet dangerous world of gambling.
17,The Dashwood sisters navigate love and life in Jane Austen's classic tale facing societal expectations and romantic dilemmas.
18,Four intertwined stories unfold in a run-down hotel on New Year's Eve each bringing a unique twist of fate and comedy.
19,Ace Ventura returns to save an endangered bat and solve a tribal mystery in a comedic blend of adventure and hilarity.
20,Two transit cops get caught up in a dangerous heist involving New York City's subway leading to a thrilling chase and confrontation.
21,A mobster discovers the movie business is as cutthroat as organized crime when he tries to collect a debt in Hollywood leading to unexpected challenges.
22,A psychologist and detective team up to catch a murderer who mimics serial killers in a gripping tale of suspense and intrigue.
23,A seasoned hitman faces competition from a ruthless younger rival disrupting his plans to retire in a deadly game of cat and mouse.
24,A boy with extraordinary powers challenges the dynamics of a small town facing prejudice and awe as he reveals his abilities.
25,An alcoholic and a prostitute form a tragic relationship as they grapple with their personal demons in a poignant story of love and redemption.
26,Shakespeare's tale of jealousy and deception unfolds around Othello a Moorish general in Venice facing betrayal and tragedy.
27,Four childhood friends reunite to reminisce about their formative years in the summer of 1970 revisiting past and present conflicts.
